name,glon,glat,ra,dec,nband,flux1,flux2,flux3,flux4,flux5,flux6,flux7,flux_err1,flux_err2,flux_err3,flux_err4,flux_err5,flux_err6,flux_err7,ercsc_name,note
PLCKERC G201.20-33.68,201.207779,-33.689213,67.845238,-5.880537,2,null,null,null,null,null,null,557.162,null,null,null,null,null,null,97.819,PLCKERC545 G030.55+23.60,0
PLCKERC G201.21+05.31,201.215652,5.318296,102.289207,12.839000,2,null,null,null,null,null,514.923,1813.016,null,null,null,null,null,63.636,154.531,PLCKERC857 G030.55+23.60,0
PLCKERC G201.22+16.09,201.220337,16.097160,112.383224,17.457653,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G201.22-48.96,201.223526,-48.964611,54.147274,-13.025115,4,924.857,null,null,466.252,398.577,314.312,null,68.156,null,null,76.743,41.516,44.518,null,null,0
PLCKERC G201.25+17.56,201.254471,17.569899,113.811958,18.021820,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G201.27+00.44,201.278671,0.443090,97.886467,10.561330,2,null,null,null,null,null,null,9162.654,null,null,null,null,null,null,1530.750,null,0
PLCKERC G201.31+23.87,201.317825,23.875467,120.001846,20.389399,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G212.59+26.67,212.597824,26.672426,126.821259,12.082704,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G212.60-27.24,212.608917,-27.247492,78.114380,-11.788813,1,null,null,null,null,null,null,651.677,null,null,null,null,null,null,115.002,null,0
PLCKERC G212.64-12.07,212.643555,-12.072645,91.955048,-5.220544,6,null,null,null,2610.635,2148.346,5763.092,22385.031,null,null,null,163.503,127.727,584.610,2266.885,null,0
PLCKERC G212.64-28.55,212.648514,-28.551334,76.915703,-12.360899,2,null,null,null,null,null,null,920.874,null,null,null,null,null,null,130.462,null,0
PLCKERC G212.66+00.79,212.668869,0.790704,103.443283,0.594637,2,null,null,null,null,null,902.953,3368.211,null,null,null,null,null,155.347,594.601,PLCKERC217 G033.30-08.37,0
PLCKERC G212.67+08.53,212.676407,8.534549,110.352364,4.105635,1,null,null,null,null,298.025,null,null,null,null,null,null,57.775,null,null,PLCKERC353 G033.29-08.38,0
PLCKERC G212.71+71.31,212.711929,71.318512,172.044342,25.661551,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC545 G033.27-08.39,0
PLCKERC G184.29-36.00,184.291367,-36.002689,58.267342,4.419782,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G184.30+02.84,184.308899,2.846783,91.636047,26.645197,1,null,null,null,null,null,561.704,null,null,null,null,null,null,89.202,null,PLCKERC353 G028.18+28.88,0
PLCKERC G184.33-38.42,184.336853,-38.426228,56.388680,2.883548,2,null,null,null,null,null,null,1047.580,null,null,null,null,null,null,119.300,PLCKERC545 G028.18+28.88,0
PLCKERC G117.63-29.27,117.634308,-29.275459,7.325635,33.368496,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G117.67-44.76,117.671646,-44.763115,8.935949,17.948280,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC857 G014.60-42.98,0
PLCKERC G117.72-09.15,117.721214,-9.152345,4.216616,53.369278,1,null,null,null,null,null,null,1734.553,null,null,null,null,null,null,169.034,PLCKERC070 G014.60+00.07,0
PLCKERC G117.75-03.64,117.759468,-3.645561,2.850728,58.823544,6,null,null,null,1657.196,1325.997,5107.089,14871.816,null,null,null,92.237,77.269,281.013,896.722,null,0
PLCKERC G117.77-76.25,117.770317,-76.258591,11.600485,-13.437333,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G117.78-27.67,117.781471,-27.677084,7.292018,34.971855,1,null,null,null,null,391.366,null,null,null,null,null,null,71.008,null,null,null,0
PLCKERC G117.78-03.23,117.784256,-3.238860,2.775309,59.229141,1,null,null,null,null,null,1295.119,null,null,null,null,null,null,185.352,null,null,0
PLCKERC G117.78-50.17,117.789604,-50.170757,9.487564,12.566277,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G117.84-07.02,117.840111,-7.024781,3.914346,55.492832,1,null,null,null,null,null,null,1687.699,null,null,null,null,null,null,233.077,null,0
PLCKERC G117.86-10.71,117.867722,-10.715563,4.790145,51.838528,2,null,null,null,null,null,454.296,1827.159,null,null,null,null,null,63.935,173.626,PLCKERC353 G014.68-05.82,0
PLCKERC G117.90-19.71,117.905159,-19.711594,6.393284,42.907566,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G117.90-07.24,117.906937,-7.242742,4.082993,55.286125,1,null,null,null,null,null,512.594,null,null,null,null,null,null,81.251,null,null,0
PLCKERC G117.97-02.93,117.979446,-2.930142,3.060292,59.564175,1,null,null,null,null,null,1072.434,null,null,null,null,null,null,125.716,null,null,0
PLCKERC G118.02-03.18,118.021797,-3.180513,3.216636,59.323021,1,null,null,null,null,null,1286.417,null,null,null,null,null,null,128.557,null,PLCKERC353 G014.74+04.08,0
PLCKERC G118.10-15.86,118.106598,-15.869602,6.077963,46.747845,1,null,null,null,null,384.915,null,null,null,null,null,null,51.711,null,null,null,0
PLCKERC G118.11-21.20,118.119499,-21.204336,6.870363,41.443455,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G118.25-09.58,118.254135,-9.585115,5.179424,53.007389,4,null,null,null,null,null,1082.939,3923.248,null,null,null,null,null,104.004,333.952,null,0
PLCKERC G118.25-52.69,118.254562,-52.699162,9.982656,10.068049,4,null,null,null,null,null,811.168,3022.531,null,null,null,null,null,90.898,287.366,null,0
PLCKERC G118.26-09.90,118.269112,-9.906854,5.267610,52.689747,4,null,null,null,null,null,1076.007,4426.411,null,null,null,null,null,129.667,387.273,null,0
PLCKERC G118.33-18.61,118.335716,-18.619806,6.796013,44.035389,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
